property_name,lease_start,rent_change_from_prev_lease,rent_change
"White, Holt and Padilla",2023-09-25,-26278,"rent decreased"
"White, Holt and Padilla",2024-06-19,36253,rent_increased
"Williams and Sons",2020-01-28,N/A,"No previous month record"
"Williams and Sons",2024-07-15,-5205,"rent decreased"
"Williams Group",2023-05-06,N/A,"No previous month record"
"Williams Group",2023-08-24,7854,rent_increased
"Williams Group",2024-07-01,-21662,"rent decreased"
"Williams LLC",2023-04-21,N/A,"No previous month record"
"Williams PLC",2020-07-05,N/A,"No previous month record"
"Williams PLC",2022-12-16,-972,"rent decreased"
Williams-Stewart,2021-03-19,N/A,"No previous month record"
Williams-Stewart,2021-12-09,37041,rent_increased
Williams-Stewart,2022-10-12,-30434,"rent decreased"
Williams-Stewart,2023-06-06,4416,rent_increased
Williams-Stewart,2023-12-10,3116,rent_increased
Williams-Stewart,2024-09-26,4448,rent_increased
"Williams, Newman and Williamson",2020-07-09,N/A,"No previous month record"
"Williams, Newman and Williamson",2021-06-03,-20968,"rent decreased"
"Williams, Newman and Williamson",2021-08-01,9436,rent_increased
"Williams, Newman and Williamson",2022-12-25,19238,rent_increased
"Williams, Newman and Williamson",2024-04-28,-21385,"rent decreased"
"Williams, Wilson and Ellis",2020-10-31,N/A,"No previous month record"
"Williams, Wilson and Ellis",2022-11-16,-4962,"rent decreased"
"Williams, Wilson and Ellis",2023-12-17,-11697,"rent decreased"
"Willis Ltd",2019-11-30,N/A,"No previous month record"
"Willis Ltd",2020-02-10,14933,rent_increased
"Willis Ltd",2020-09-09,-13267,"rent decreased"
"Willis Ltd",2020-09-12,-5480,"rent decreased"
"Willis Ltd",2020-09-19,12471,rent_increased
"Willis Ltd",2021-09-17,-21298,"rent decreased"
"Willis Ltd",2021-09-22,11397,rent_increased
"Willis Ltd",2022-12-29,16935,rent_increased
"Willis Ltd",2023-02-12,-39189,"rent decreased"
"Willis Ltd",2023-09-11,-5730,"rent decreased"
"Willis Ltd",2023-09-26,10372,rent_increased
"Willis Ltd",2024-06-14,21725,rent_increased
"Willis Ltd",2024-09-17,-745,"rent decreased"
"Wilson Group",2024-07-25,N/A,"No previous month record"
"Wilson Ltd",2020-11-15,N/A,"No previous month record"
"Wilson Ltd",2023-08-04,25712,rent_increased
"Wilson, Davenport and Wyatt",2023-11-04,N/A,"No previous month record"
"Wood, Proctor and Johnson",2020-07-11,N/A,"No previous month record"
"Wood, Proctor and Johnson",2020-10-06,38054,rent_increased
"Wood, Proctor and Johnson",2024-09-27,-31070,"rent decreased"
"Yates Ltd",2020-04-16,N/A,"No previous month record"
"Yates Ltd",2020-08-12,15477,rent_increased
"Yates Ltd",2021-08-09,11104,rent_increased
"Yates Ltd",2022-07-27,-5060,"rent decreased"
"Yates Ltd",2023-06-26,-10677,"rent decreased"
"Yates Ltd",2024-01-31,14511,rent_increased
"Yates Ltd",2024-03-08,-10432,"rent decreased"
Yoder-Davis,2022-09-15,N/A,"No previous month record"
Yoder-Rowe,2022-01-01,N/A,"No previous month record"
Yoder-Rowe,2022-09-16,-7139,"rent decreased"
Yoder-Rowe,2022-11-22,-2227,"rent decreased"
Yoder-Rowe,2023-04-18,379,rent_increased
Yoder-Rowe,2023-06-13,-4101,"rent decreased"
Yoder-Rowe,2024-09-06,31886,rent_increased
"York PLC",2020-10-04,N/A,"No previous month record"
"York PLC",2021-07-16,-25289,"rent decreased"
"York PLC",2022-02-09,17385,rent_increased
"York PLC",2023-04-14,-4105,"rent decreased"
Young-Abbott,2024-02-16,N/A,"No previous month record"
"Young, Garrison and Ward",2024-01-04,N/A,"No previous month record"
"Young, Garrison and Ward",2024-01-26,-39761,"rent decreased"
"Young, Garrison and Ward",2024-07-28,34610,rent_increased
